ticker,date,bar_idx,price,status,score,squeeze,dryup,dist_pivot,ret_1w,ret_2w,ret_1m,max_gain_1m,max_dd_1m
A,2025-11-24,350,152.68,BREAKOUT,66,9.1,1.35,-0.61,-3.12,-8.44,-9.95,2.34,-11.03
AA,2025-10-20,325,38.73,BREAKOUT,41,82.9,0.89,-2.23,2.41,-4.52,-5.93,3.03,-9.25
AA,2025-10-23,328,39.9,BREAKOUT,38,73.8,1.32,-2.14,-8.42,-8.32,-9.22,0.0,-11.92
AA,2025-12-03,356,43.96,BREAKOUT,23,83.3,1.12,-3.11,1.22,6.21,39.32,39.32,-1.43
AA,2026-01-06,378,63.35,BREAKOUT,23,94.8,1.18,-2.83,2.85,0.49,-11.3,3.32,-11.3
AAL,2025-12-16,365,15.99,BREAKOUT,23,84.1,1.09,-4.0,-2.44,-4.13,-3.88,1.69,-5.32
AAL,2026-05-21,472,13.59,BREAKOUT,27,64.7,1.3,-1.32,7.73,-0.66,18.76,18.76,-2.13
AAL,2026-06-15,488,15.46,BREAKOUT,25,82.9,1.55,-0.39,4.4,16.88,,17.4,-0.26
AAL,2026-06-25,495,17.57,BREAKOUT,23,94.8,1.4,-0.57,1.99,,,3.3,0.0
AAMI,2026-04-08,441,59.35,BREAKOUT,25,68.3,1.31,-1.81,12.22,13.87,11.95,14.99,0.0
AAMI,2026-05-11,464,72.29,BREAKOUT,65,7.9,0.94,-3.47,-4.2,4.28,5.11,6.85,-5.9
AAMI,2026-05-26,474,75.38,BREAKOUT,41,46.4,1.24,-1.27,-3.68,2.46,-7.45,9.73,-7.45
AAMI,2026-06-15,488,80.57,BREAKOUT,40,58.7,0.97,-1.76,-9.38,-11.23,,2.67,-13.4
AAOI,2026-02-20,409,51.68,BREAKOUT,48,45.2,0.7,-1.7,62.98,84.95,85.29,145.76,0.0
AAON,2025-10-29,332,102.96,PRIMED,77,5.6,0.79,4.22,-9.5,-1.19,-9.38,2.44,-13.66
AAON,2026-02-11,403,102.52,BREAKOUT,25,18.7,1.02,-1.29,-1.65,-3.73,-18.32,1.96,-18.32
AAP,2026-06-18,491,60.1,PRIMED,95,6.3,0.59,3.94,3.46,,,4.86,-8.8
AAPL,2025-10-17,324,251.58,PRIMED,78,9.1,0.84,2.75,4.17,7.17,6.12,9.21,0.0
AAPL,2026-05-01,458,279.88,BREAKOUT,41,54.4,1.24,-1.44,4.7,7.27,12.62,12.62,-1.18
AAT,2026-05-14,467,20.55,PRIMED,83,4.8,0.84,3.65,6.24,11.75,18.17,19.24,-0.38
AAT,2026-06-26,496,25.18,BREAKOUT,29,64.3,1.1,-1.31,,,,1.31,-1.95
AAUC,2025-12-03,326,21.93,BREAKOUT,23,96.0,1.49,-0.32,-0.55,3.97,8.12,13.63,-1.37
AAUC,2026-01-12,352,26.21,BREAKOUT,39,33.3,1.16,-3.85,11.6,20.95,20.45,22.13,0.0
AAUC,2026-01-21,358,29.49,BREAKOUT,23,74.2,1.46,-0.07,7.39,6.92,6.24,8.55,0.0
AAUC,2026-01-26,361,31.6,BREAKOUT,23,88.9,2.09,-2.03,-1.58,0.16,-0.22,1.3,-1.65
AAUC,2026-02-13,375,31.47,PRIMED,81,9.9,0.41,1.94,-0.64,0.06,-0.38,0.57,-1.24
AAUC,2026-03-17,396,31.35,PRIMED,84,2.4,0.69,2.33,-0.67,-0.99,1.79,1.79,-2.39
AAUC,2026-03-27,404,31.04,PRIMED,81,8.3,0.42,3.35,0.52,1.87,-2.93,2.84,-2.93
